"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 21:12:29 GMT 2024","Tue Jun 18 21:12:33 GMT 2024","4521","Ubuntu crossBrowser Test Suite","FirefoxTestUbuntu","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Tue Jun 18 21:12:23 GMT 2024","Tue Jun 18 21:12:27 GMT 2024","3506","Ubuntu crossBrowser Test Suite","ChromeTestUbuntu","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Tue Jun 18 21:12:16 GMT 2024","Tue Jun 18 21:12:17 GMT 2024","1391","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLs"
"passed","Tue Jun 18 21:12:08 GMT 2024","Tue Jun 18 21:12:08 GMT 2024","523","Smoke","Smoke Test Run","FrameworkTest","FrameworkTest","testGoogle","TC-00.01 Open Google.com","TC-00.01 Open Google.com"
"passed","Tue Jun 18 21:12:09 GMT 2024","Tue Jun 18 21:12:10 GMT 2024","1464","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLs"
"passed","Tue Jun 18 21:12:19 GMT 2024","Tue Jun 18 21:12:20 GMT 2024","495","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Tue Jun 18 21:12:17 GMT 2024","Tue Jun 18 21:12:19 GMT 2024","1390","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLs"
"passed","Tue Jun 18 21:12:12 GMT 2024","Tue Jun 18 21:12:14 GMT 2024","1450","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLs"
"passed","Tue Jun 18 21:12:08 GMT 2024","Tue Jun 18 21:12:08 GMT 2024","0","Smoke","Smoke Test Run","FrameworkTest","FrameworkTest","testPass","TC-00.00 AssertTrue = true","TC-00.00 AssertTrue = true"
"passed","Tue Jun 18 21:12:14 GMT 2024","Tue Jun 18 21:12:15 GMT 2024","1450","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLs"
"passed","Tue Jun 18 21:12:10 GMT 2024","Tue Jun 18 21:12:12 GMT 2024","1440","Regression","Regression Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLs"
"unknown","Tue Jun 18 21:12:07 GMT 2024","Tue Jun 18 21:12:07 GMT 2024","2","Smoke","Smoke Test Run","FrameworkTest","FrameworkTest","testFail","testFail",""
