"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 22:36:12 GMT 2024","Thu Jun 13 22:36:14 GMT 2024","1652","Ubuntu crossBrowser Test Suite","FirefoxTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Thu Jun 13 22:35:45 GMT 2024","Thu Jun 13 22:35:47 GMT 2024","1396","Ubuntu crossBrowser Test Suite","ChromeTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"passed","Thu Jun 13 22:35:50 GMT 2024","Thu Jun 13 22:35:52 GMT 2024","2389","Ubuntu crossBrowser Test Suite","FirefoxTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"passed","Thu Jun 13 22:35:39 GMT 2024","Thu Jun 13 22:35:42 GMT 2024","2674","Ubuntu crossBrowser Test Suite","FirefoxTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"passed","Thu Jun 13 22:35:48 GMT 2024","Thu Jun 13 22:35:48 GMT 2024","377","Ubuntu crossBrowser Test Suite","ChromeTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Thu Jun 13 22:35:37 GMT 2024","Thu Jun 13 22:35:38 GMT 2024","1358","Ubuntu crossBrowser Test Suite","ChromeTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"passed","Thu Jun 13 22:35:39 GMT 2024","Thu Jun 13 22:35:40 GMT 2024","1439","Ubuntu crossBrowser Test Suite","ChromeTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"unknown","Thu Jun 13 22:35:36 GMT 2024","Thu Jun 13 22:35:36 GMT 2024","1","Ubuntu crossBrowser Test Suite","ChromeTestUbuntu","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Thu Jun 13 22:35:40 GMT 2024","Thu Jun 13 22:35:42 GMT 2024","1473","Ubuntu crossBrowser Test Suite","ChromeTestUbuntu","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"passed","Thu Jun 13 22:35:36 GMT 2024","Thu Jun 13 22:35:36 GMT 2024","6","Ubuntu crossBrowser Test Suite","FirefoxTestUbuntu","FrameworkTest","FrameworkTest","testPass","testPass",""
