"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 21:08:09 GMT 2024","Wed Jun 12 21:08:10 GMT 2024","593","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testGoogle","testGoogle",""
"passed","Wed Jun 12 21:08:09 GMT 2024","Wed Jun 12 21:08:09 GMT 2024","7","CrossBrowser Test Suite","FirefoxTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"unknown","Wed Jun 12 21:08:09 GMT 2024","Wed Jun 12 21:08:09 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"unknown","Wed Jun 12 21:08:09 GMT 2024","Wed Jun 12 21:08:09 GMT 2024","0","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
"passed","Wed Jun 12 21:08:10 GMT 2024","Wed Jun 12 21:08:10 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"unknown","Wed Jun 12 21:08:09 GMT 2024","Wed Jun 12 21:08:09 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"unknown","Wed Jun 12 21:08:09 GMT 2024","Wed Jun 12 21:08:09 GMT 2024","0","CrossBrowser Test Suite","FirefoxTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"unknown","Wed Jun 12 21:08:08 GMT 2024","Wed Jun 12 21:08:08 GMT 2024","1","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","navigationMenuTest","TC-01.01 Check Nav menu URLs","TC-01.01 Check Nav menu URLsmvn"
"passed","Wed Jun 12 21:08:11 GMT 2024","Wed Jun 12 21:08:12 GMT 2024","1029","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testGoogle","testGoogle",""
"unknown","Wed Jun 12 21:08:08 GMT 2024","Wed Jun 12 21:08:08 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01.00 Open base URL","TC-01.00 Open base URL"
